,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
0,40.87,293.15,72,75,3.6
1,-33.59,290.72,43,0,4.48
2,-34.53,284.15,93,0,1.5
3,-0.72,297.51,79,88,5.45
4,54.43,282.84,90,0,3.19
5,-22.96,296.15,15,0,4.1
6,62.67,291.65,65,8,0.15
7,55.7,285.93,76,0,2.0
8,70.47,282.15,61,75,4.1
9,-4.2,293.18,75,11,2.21
10,-4.24,295.83,98,5,0.23
11,17.67,297.23,93,100,1.05
12,56.35,281.86,86,0,0.75
13,29.22,298.69,85,99,0.98
14,-54.8,278.15,65,75,2.1
15,56.95,279.96,95,0,1.93
16,68.75,291.15,72,40,5.0
17,72.79,281.23,72,67,4.78
18,-46.6,277.04,83,99,1.34
19,33.08,294.15,73,75,6.7
20,40.43,300.15,34,18,3.1
21,-5.2,299.15,74,75,5.1
22,-33.93,286.48,93,90,1.0
23,-21.64,298.15,61,0,6.2
24,-0.88,298.42,87,32,3.27
25,-17.71,295.25,79,23,2.72
26,21.46,303.15,66,40,7.2
27,25.52,296.48,98,99,1.89
28,60.55,291.15,55,1,3.1
29,45.76,295.11,50,97,2.5
30,-0.6,301.58,66,74,1.56
31,10.57,300.66,83,100,7.18
32,7.53,300.16,80,96,4.69
33,-21.2,294.15,94,75,3.1
34,-23.12,292.58,62,0,7.24
35,60.14,281.31,91,100,4.69
36,59.7,285.93,81,20,3.0
37,62.46,288.71,93,90,6.2
38,47.62,289.23,94,100,2.57
39,5.35,298.21,72,84,12.69
40,-46.19,277.04,83,75,1.34
41,7.02,284.54,79,95,2.16
42,32.67,293.15,71,0,1.35
43,63.9,291.44,77,79,2.13
44,-8.93,284.23,68,56,1.2
45,-14.07,284.3,80,0,3.0
46,13.22,304.15,58,40,6.2
47,-35.33,283.81,75,33,1.56
48,48.01,290.94,56,94,1.44
49,51.71,283.96,89,100,3.71
50,37.1,308.15,17,1,3.6
51,-15.86,297.15,73,3,2.1
52,-16.48,298.46,81,1,8.27
53,49.59,291.31,48,66,2.9
54,-0.74,299.15,65,20,10.3
55,54.37,288.39,72,100,5.63
56,-29.66,284.74,36,0,2.28
57,-24.79,289.98,73,0,1.78
58,-37.83,276.15,86,99,3.6
59,22.08,301.15,74,20,5.1
60,-42.88,277.15,80,75,2.6
61,-16.52,298.93,79,1,8.29
62,12.25,299.15,88,75,2.6
63,51.95,300.37,78,53,6.79
64,59.7,289.15,68,99,2.13
65,-34.42,287.59,85,0,0.45
66,-33.65,279.26,76,0,2.13
67,-53.15,277.15,80,75,10.3
68,-37.62,281.69,64,35,2.77
69,15.85,304.15,58,40,3.6
70,60.75,289.34,65,100,1.34
71,37.47,298.15,83,40,1.21
72,13.2,301.15,78,75,2.1
73,-20.33,298.15,64,20,4.1
74,44.75,295.93,60,75,1.0
75,71.0,283.15,93,90,1.26
76,40.6,290.93,77,40,7.2
77,64.84,291.48,63,75,2.08
78,-34.58,281.48,87,68,0.45
79,-2.57,301.4,74,41,3.08
80,-20.34,291.48,77,75,8.2
81,-19.0,306.15,29,0,6.7
82,18.42,304.15,66,40,5.1
83,9.49,297.59,80,22,13.41
84,-9.67,299.15,65,20,4.6
85,-34.65,284.82,99,100,2.24
86,65.28,290.15,59,75,5.7
87,49.12,293.15,56,20,3.1
88,41.14,305.37,58,1,3.6
89,43.75,295.93,77,8,7.62
90,-31.54,280.52,54,31,1.75
91,-20.02,292.04,87,5,2.1
